"","country","ccode","ewp_name"
"1","Afghanistan",700,"Afghanistan"
"2","Albania",339,"Albania"
"3","Algeria",615,"Algeria"
"4","Angola",540,"Angola"
"5","Argentina",160,"Argentina"
"6","Armenia",371,"Armenia"
"7","Australia",900,"Australia"
"8","Austria",305,"Austria"
"9","Azerbaijan",373,"Azerbaijan"
"10","Bahrain",692,"Bahrain"
"11","Bangladesh",771,"Bangladesh"
"12","Belarus (Byelorussia)",370,"Belarus (Byelorussia)"
"13","Belgium",211,"Belgium"
"14","Benin",434,"Benin"
"15","Bhutan",760,"Bhutan"
"16","Bolivia",145,"Bolivia"
"17","Bosnia-Herzegovina",346,"Bosnia-Herzegovina"
"18","Botswana",571,"Botswana"
"19","Brazil",140,"Brazil"
"20","Bulgaria",355,"Bulgaria"
"21","Burkina Faso (Upper Volta)",439,"Burkina Faso (Upper Volta)"
"22","Burundi",516,"Burundi"
"23","Cambodia (Kampuchea)",811,"Cambodia (Kampuchea)"
"24","Cameroon",471,"Cameroon"
"25","Canada",20,"Canada"
"26","Cape Verde",402,"Cape Verde"
"27","Central African Republic",482,"Central African Republic"
"28","Chad",483,"Chad"
"29","Chile",155,"Chile"
"30","China",710,"China"
"31","Colombia",100,"Colombia"
"32","Comoros",581,"Comoros"
"33","Congo",484,"Congo"
"34","Congo, Democratic Republic of (Zaire)",490,"Congo, Democratic Republic of (Zaire)"
"35","Costa Rica",94,"Costa Rica"
"36","Cote D’Ivoire",437,"Cote D’Ivoire"
"37","Croatia",344,"Croatia"
"38","Cuba",40,"Cuba"
"39","Cyprus",352,"Cyprus"
"40","Czech Republic",316,"Czech Republic"
"41","Czechoslovakia",315,"Czechoslovakia"
"42","Denmark",390,"Denmark"
"43","Djibouti",522,"Djibouti"
"44","Dominican Republic",42,"Dominican Republic"
"45","East Timor",860,"East Timor"
"46","Ecuador",130,"Ecuador"
"47","Egypt",651,"Egypt"
"48","El Salvador",92,"El Salvador"
"49","Equatorial Guinea",411,"Equatorial Guinea"
"50","Eritrea",531,"Eritrea"
"51","Estonia",366,"Estonia"
"52","Ethiopia",530,"Ethiopia"
"53","Fiji",950,"Fiji"
"54","Finland",375,"Finland"
"55","France",220,"France"
"56","Gabon",481,"Gabon"
"57","Gambia",420,"Gambia"
"58","Georgia",372,"Georgia"
"59","Germany",255,"Germany"
"60","Germany (East)",265,"Germany (East)"
"61","Ghana",452,"Ghana"
"62","Greece",350,"Greece"
"63","Guatemala",90,"Guatemala"
"64","Guinea",438,"Guinea"
"65","Guinea-Bissau",404,"Guinea-Bissau"
"66","Guyana",110,"Guyana"
"67","Haiti",41,"Haiti"
"68","Honduras",91,"Honduras"
"69","Hungary",310,"Hungary"
"70","India",750,"India"
"71","Indonesia",850,"Indonesia"
"72","Iran (Persia)",630,"Iran (Persia)"
"73","Iraq",645,"Iraq"
"74","Ireland",205,"Ireland"
"75","Israel",666,"Israel"
"76","Italy/Sardinia",325,"Italy/Sardinia"
"77","Jamaica",51,"Jamaica"
"78","Japan",740,"Japan"
"79","Jordan",663,"Jordan"
"80","Kazakhstan",705,"Kazakhstan"
"81","Kenya",501,"Kenya"
"82","Korea, People's Republic of",731,"Korea, People's Republic of"
"83","Korea, Republic of",732,"Korea, Republic of"
"84","Kosovo",347,"Kosovo"
"85","Kuwait",690,"Kuwait"
"86","Kyrgyz Republic",703,"Kyrgyz Republic"
"87","Laos",812,"Laos"
"88","Latvia",367,"Latvia"
"89","Lebanon",660,"Lebanon"
"90","Lesotho",570,"Lesotho"
"91","Liberia",450,"Liberia"
"92","Libya",620,"Libya"
"93","Lithuania",368,"Lithuania"
"94","Luxembourg",212,"Luxembourg"
"95","Macedonia (Former Yugoslav Republic of)",343,"Macedonia (Former Yugoslav Republic of)"
"96","Madagascar",580,"Madagascar"
"97","Malawi",553,"Malawi"
"98","Malaysia",820,"Malaysia"
"99","Maldives",781,"Maldives"
"100","Mali",432,"Mali"
"101","Malta",338,"Malta"
"102","Mauritania",435,"Mauritania"
"103","Mauritius",590,"Mauritius"
"104","Mexico",70,"Mexico"
"105","Moldova",359,"Moldova"
"106","Mongolia",712,"Mongolia"
"107","Montenegro",341,"Montenegro"
"108","Morocco",600,"Morocco"
"109","Mozambique",541,"Mozambique"
"110","Myanmar (Burma)",775,"Myanmar (Burma)"
"111","Namibia",565,"Namibia"
"112","Nepal",790,"Nepal"
"113","Netherlands",210,"Netherlands"
"114","New Zealand",920,"New Zealand"
"115","Nicaragua",93,"Nicaragua"
"116","Niger",436,"Niger"
"117","Nigeria",475,"Nigeria"
"118","Norway",385,"Norway"
"119","Oman",698,"Oman"
"120","Pakistan",770,"Pakistan"
"121","Panama",95,"Panama"
"122","Papua New Guinea",910,"Papua New Guinea"
"123","Paraguay",150,"Paraguay"
"124","Peru",135,"Peru"
"125","Philippines",840,"Philippines"
"126","Poland",290,"Poland"
"127","Portugal",235,"Portugal"
"128","Qatar",694,"Qatar"
"129","Rumania",360,"Rumania"
"130","Russia (Soviet Union)",365,"Russia (Soviet Union)"
"131","Rwanda",517,"Rwanda"
"132","Saudi Arabia",670,"Saudi Arabia"
"133","Senegal",433,"Senegal"
"134","Serbia",345,"Serbia"
"135","Sierra Leone",451,"Sierra Leone"
"136","Singapore",830,"Singapore"
"137","Slovakia",317,"Slovakia"
"138","Slovenia",349,"Slovenia"
"139","Solomon Islands",940,"Solomon Islands"
"140","Somalia",520,"Somalia"
"141","South Africa",560,"South Africa"
"142","South Sudan",626,"South Sudan"
"143","Spain",230,"Spain"
"144","Sri Lanka (Ceylon)",780,"Sri Lanka (Ceylon)"
"145","Sudan",625,"Sudan"
"146","Surinam",115,"Surinam"
"147","Swaziland",572,"Swaziland"
"148","Sweden",380,"Sweden"
"149","Switzerland",225,"Switzerland"
"150","Syria",652,"Syria"
"151","Tajikistan",702,"Tajikistan"
"152","Tanzania/Tanganyika",510,"Tanzania/Tanganyika"
"153","Thailand",800,"Thailand"
"154","Togo",461,"Togo"
"155","Trinidad and Tobago",52,"Trinidad and Tobago"
"156","Tunisia",616,"Tunisia"
"157","Turkey (Ottoman Empire)",640,"Turkey (Ottoman Empire)"
"158","Turkmenistan",701,"Turkmenistan"
"159","Uganda",500,"Uganda"
"160","Ukraine",369,"Ukraine"
"161","United Arab Emirates",696,"United Arab Emirates"
"162","United Kingdom",200,"United Kingdom"
"163","United States of America",2,"United States of America"
"164","Uruguay",165,"Uruguay"
"165","Uzbekistan",704,"Uzbekistan"
"166","Venezuela",101,"Venezuela"
"167","Vietnam, Democratic Republic of",816,"Vietnam, Democratic Republic of"
"168","Vietnam, Republic of",817,"Vietnam, Republic of"
"169","Yemen",679,"Yemen"
"170","Yemen (Arab Republic of Yemen)",678,"Yemen (Arab Republic of Yemen)"
"171","Yemen, People's Republic of",680,"Yemen, People's Republic of"
"172","Zambia",551,"Zambia"
"173","Zimbabwe (Rhodesia)",552,"Zimbabwe (Rhodesia)"
